"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"19",19,1,"gp",23,"c","!","{The_mother}",0,1998,0.5,74,"High",0.5,1998
"43",43,1,"gp",19,"c","!","{The_coach}",0,2996,0.5,74,"High",0.5,2996
"51",51,1,"gp",7,"c","!","{The_man}",0,1862,0.5,74,"High",0.5,1862
"58",58,1,"gp",8,"d","!","{The_boy}",1,1872,0.5,74,"High",-0.5,1872
"69",69,1,"gp",4,"d","!","{The_friend}",1,1581,0.5,74,"High",-0.5,1581
"99",99,1,"gp",11,"c","!","{The_lady}",0,1309,0.5,74,"High",0.5,1309
"111",111,1,"gp",20,"d","!","{The_man}",1,1766,0.5,74,"High",-0.5,1766
"125",125,1,"gp",3,"c","!","{The_two_journalists}",0,1692,0.5,74,"High",0.5,1692
"147",147,1,"gp",12,"d","!","{The_baby}",1,2033,0.5,74,"High",-0.5,2033
"151",151,1,"gp",15,"c","!","{The_aunt}",0,1903,0.5,74,"High",0.5,1903
"162",162,1,"gp",24,"d","!","{The_director}",1,1400,0.5,74,"High",-0.5,1400
"169",169,1,"gp",16,"d","!","{The_assistant}",1,1555,0.5,74,"High",-0.5,1555
"195",195,2,"gp",19,"d","!","{The_basketball_player}",1,3822,0.5,71,"Low",-0.5,3822
"216",216,2,"gp",15,"d","!","{The_boy}",1,2388,0.5,71,"Low",-0.5,2388
"231",231,2,"gp",14,"c","!","{The_nurse}",1,1588,0.5,71,"Low",0.5,1588
"237",237,2,"gp",3,"d","!","{The_president}",1,1474,0.5,71,"Low",-0.5,1474
"244",244,2,"gp",6,"c","!","{The_neighbour}",1,1555,0.5,71,"Low",0.5,1555
"265",265,2,"gp",2,"c","!","{The_baby}",1,1427,0.5,71,"Low",0.5,1427
"283",283,2,"gp",22,"c","!","{The_two_footballers}",0,2661,0.5,71,"Low",0.5,2661
"326",326,2,"gp",23,"d","!","{The_child}",1,5538,0.5,71,"Low",-0.5,5538
"329",329,2,"gp",7,"d","!","{The_lady}",1,1770,0.5,71,"Low",-0.5,1770
"341",341,2,"gp",18,"c","!","{The_baby}",1,2617,0.5,71,"Low",0.5,2617
"344",344,2,"gp",11,"d","!","{The_friend}",1,1899,0.5,71,"Low",-0.5,1899
"351",351,2,"gp",10,"c","!","{The_General}",1,1859,0.5,71,"Low",0.5,1859
"376",376,3,"gp",22,"d","!","{The_coach}",1,1339,0.5,72,"High",-0.5,1339
"383",383,3,"gp",9,"c","!","{The_singer}",1,2577,0.5,72,"High",0.5,2577
"408",408,3,"gp",14,"d","!","{The_nurse}",1,1408,0.5,72,"High",-0.5,1408
"421",421,3,"gp",2,"d","!","{The_baby}",1,1290,0.5,72,"High",-0.5,1290
"429",429,3,"gp",10,"d","!","{The_General}",1,1469,0.5,72,"High",-0.5,1469
"440",440,3,"gp",13,"c","!","{The_boy}",1,1505,0.5,72,"High",0.5,1505
"450",450,3,"gp",5,"c","!","{The_father}",0,1201,0.5,72,"High",0.5,1201
"463",463,3,"gp",21,"c","!","{Anna}",0,1268,0.5,72,"High",0.5,1268
"492",492,3,"gp",1,"c","!","{The_man}",1,1109,0.5,72,"High",0.5,1109
"502",502,3,"gp",6,"d","!","{The_neighbour}",1,1325,0.5,72,"High",-0.5,1325
"513",513,3,"gp",18,"d","!","{The_baby}",1,1604,0.5,72,"High",-0.5,1604
"530",530,3,"gp",17,"c","!","{The_terrorist}",1,876,0.5,72,"High",0.5,876
"566",566,4,"gp",20,"c","!","{The_man}",1,1529,0.5,66,"Low",0.5,1529
"569",569,4,"gp",5,"d","!","{The_boy}",1,1737,0.5,66,"Low",-0.5,1737
"576",576,4,"gp",17,"d","!","{The_terrorist}",1,1368,0.5,66,"Low",-0.5,1368
"590",590,4,"gp",13,"d","!","{The_boy}",1,1439,0.5,66,"Low",-0.5,1439
"597",597,4,"gp",16,"c","!","{The_assistant}",1,2195,0.5,66,"Low",0.5,2195
"604",604,4,"gp",24,"c","!","{The_director}",1,2279,0.5,66,"Low",0.5,2279
